CaseID,Activity,Timestamp
173688,3,15248.739733796296
173688,5,15248.761898148148
173688,5,15255.93888888889
173688,5,15257.73130787037
173688,6,15260.692789351851
173691,3,15248.738344907408
173691,3,15248.858194444445
173691,5,15248.858622685186
173691,5,15250.95579861111
173691,5,15250.956435185186
173691,5,15257.676909722222
173691,6,15257.729791666667
173691,6,15257.843206018519
173691,6,15257.845532407408
173694,3,15248.733321759259
173694,3,15250.723171296297
173694,3,15250.814386574075
173694,3,15250.819641203703
173694,5,15250.822465277777
173694,5,15257.949513888889
173694,5,15258.065694444444
173694,5,15262.011597222223
173694,5,15265.0721875
173694,5,15272.701944444445
173694,5,15274.034976851852
173694,5,15276.77880787037
173694,5,15279.955266203704
173694,5,15280.056273148148
173694,5,15280.718958333333
173694,6,15283.003483796296
173703,3,15248.736388888889
173703,3,15248.793194444444
173706,1,15248.678344907408
173706,3,15248.743217592593
173706,3,15248.745775462963
173706,3,15248.875023148148
173709,3,15248.685497685185
173709,3,15248.738217592592
173709,3,15257.988344907408
173709,3,15279.718842592592
173712,1,15248.673900462964
173712,3,15248.794155092593
173712,3,15250.720474537036
173712,3,15250.863136574075
173715,3,15248.740347222221
173715,3,15248.771111111111
173715,5,15255.943252314815
173715,5,15257.787546296297
173715,6,15260.71212962963
173718,3,15248.697719907408
173718,5,15248.697893518518
173718,5,15248.69925925926
173718,5,15248.70162037037
173718,5,15248.701782407408
173718,5,15255.938622685186
173718,5,15257.704942129629
173718,6,15260.775138888888
173718,4,15260.795625
173718,4,15260.828657407408
173718,4,15260.96667824074
173718,4,15260.968206018519
173718,4,15260.968356481482
173718,4,15262.887164351852
173718,4,15262.955717592593
173718,4,15264.814479166667
173718,4,15264.853194444444
173718,4,15265.948888888888
173718,4,15265.990671296297
173718,6,15266.620381944444
173718,4,15266.636817129629
173718,4,15266.641886574074
173718,4,15267.646203703704
173718,4,15271.89230324074
173718,4,15273.592106481481
173718,6,15274.637511574074
173721,3,15248.722800925925
173721,5,15248.724212962963
173721,5,15248.731180555556
173721,5,15251.86642361111
173721,5,15253.659571759259
173721,6,15257.6709375
173721,4,15257.680601851851
173721,4,15257.73787037037
173721,4,15257.848773148147
173721,4,15257.936446759259
173724,1,15248.758645833334
173724,1,15248.764525462962
173724,3,15248.81050925926
173724,3,15248.834733796297
173724,3,15248.885613425926
173724,3,15250.73173611111
173724,3,15250.908564814816
173730,3,15248.830219907408
173730,3,15248.885555555555
173730,3,15248.896747685185
173730,3,15248.902916666666
173730,5,15248.908784722222
173730,5,15255.930787037038
173730,5,15258.117662037037
173730,5,15258.699351851852
173730,5,15259.079942129629
173730,5,15259.900925925926
173730,5,15261.02480324074
173730,5,15261.68136574074
173730,6,15266.805613425926
173730,4,15266.814548611112
173730,4,15266.817175925926
173730,4,15267.049849537038
173730,4,15267.590694444445
173730,6,15267.67287037037
173730,4,15267.685972222222
173730,4,15267.69798611111
173730,6,15267.750543981481
173730,4,15267.772604166666
173730,4,15267.828032407408
173730,4,15267.93451388889
173730,6,15268.510474537037
173730,6,15268.628587962963
173730,6,15268.630798611111
173733,1,15248.871481481481
173736,3,15248.902881944445
173736,3,15248.913715277778
173736,3,15248.920462962962
173736,5,15251.791226851852
173736,5,15257.815277777778
173736,6,15260.700798611111
173736,4,15260.710844907408
173736,4,15260.712881944444
173736,4,15260.714131944444
173736,4,15260.733969907407
173736,4,15260.761458333332
173736,4,15265.68099537037
173736,6,15265.751122685186
173739,3,15248.8940625
173739,3,15248.90417824074
173739,3,15248.914386574073
173739,5,15248.916909722222
173739,5,15255.897777777778
173739,5,15258.680023148148
173739,6,15260.800300925926
173739,6,15260.877997685186
173739,4,15261.08457175926
173739,4,15261.67130787037
173739,4,15261.805532407407
173739,4,15261.817418981482
173739,4,15261.83701388889
173739,4,15261.90923611111
173739,6,15261.932581018518
173742,1,15248.872476851851
173742,3,15248.909733796296
173742,3,15250.789085648148
173742,3,15250.913310185186
173742,3,15251.7328125
173742,3,15251.809965277778
173742,3,15251.9771875
173742,3,15252.647395833334
173742,3,15252.811539351851
173742,3,15253.009826388889
173742,3,15253.037013888888
173742,3,15253.666712962962
173742,3,15254.120972222223
173742,3,15255.024282407407
173742,3,15255.702395833334
173742,3,15255.729421296297
173742,3,15261.911215277778
173745,1,15248.889895833334
173745,3,15248.91582175926
173745,5,15255.78193287037
173748,1,15248.891863425926
173748,3,15248.914675925926
173748,3,15248.914791666666
173748,3,15248.917002314814
173748,3,15248.92332175926
173748,3,15248.942743055555
173748,5,15248.943981481481
173748,5,15248.946041666666
173748,5,15248.950289351851
173748,5,15250.9475
173751,3,15248.898645833333
173751,3,15248.951423611112
173751,5,15254.778009259258
173751,6,15258.694178240741
173754,3,15248.906030092592
173754,3,15248.916712962962
173754,3,15250.789803240741
173754,3,15251.644733796296
173754,3,15251.807916666667
173754,3,15251.99824074074
173754,3,15252.661319444445
173754,3,15252.827939814815
173754,3,15253.027210648148
173754,3,15253.666099537037
173754,3,15254.637719907407
173754,3,15255.029131944444
173754,3,15255.716921296296
173754,3,15261.827569444444
173754,3,15261.828460648148
173754,3,15261.851736111112
173754,2,15261.85207175926
173754,2,15261.853252314815
173760,3,15248.917881944444
173760,5,15255.774282407407
173760,5,15258.077881944444
173760,5,15258.709479166666
173760,6,15261.903599537038
173763,1,15248.94355324074
173766,3,15248.948564814815
173766,3,15248.950266203703
173766,3,15250.825289351851
173766,3,15251.649074074074
173766,3,15251.799409722222
173766,3,15251.970520833333
173766,3,15252.639351851853
173766,3,15252.696435185186
173766,3,15252.83730324074
173766,3,15253.03539351852
173766,3,15253.665532407407
173766,3,15254.119583333333
173775,3,15250.63894675926
173775,3,15250.693101851852
173778,1,15250.6284375
173781,3,15250.6425
173784,3,15250.638726851852
173784,3,15250.858912037036
173784,3,15251.667708333332
173784,3,15251.820775462964
173784,3,15251.968796296296
173784,3,15251.969027777777
173784,3,15251.972094907407
173784,3,15251.984363425925
173784,5,15259.113182870371
173784,5,15259.9496875
173784,5,15261.034780092592
173784,5,15264.728657407408
173784,6,15266.809085648149
173784,4,15266.861956018518
173784,4,15267.067858796296
173784,4,15267.64576388889
173784,4,15269.04005787037
173784,4,15271.691469907408
173784,4,15274.84019675926
173784,4,15275.576898148149
173784,6,15275.659814814815
173784,4,15275.746203703704
173784,4,15275.774594907407
173784,6,15278.735277777778
173784,6,15278.804270833334
173784,4,15278.983877314815
173784,4,15279.192627314815
173784,4,15279.930023148148
173784,4,15279.9675
173784,4,15281.693101851852
173784,4,15282.019537037037
173784,4,15282.05244212963
173784,4,15283.804305555555
173784,4,15283.94886574074
173784,4,15285.731377314814
173784,4,15285.94400462963
173784,4,15285.965219907408
173784,4,15287.193043981482
173784,4,15288.805601851851
173784,4,15289.729849537038
173784,6,15289.767939814816
173784,6,15293.852939814815
173784,6,15293.868472222222
173787,3,15250.646631944444
173787,5,15250.650520833333
173787,5,15250.652708333333
173787,5,15250.662569444445
173787,5,15257.882361111111
173787,5,15258.08329861111
173787,5,15258.122175925926
173787,5,15265.74269675926
173787,5,15267.03607638889
173790,3,15250.643194444445
173790,5,15250.646782407408
173790,5,15250.647430555555
173790,5,15254.775787037037
173790,6,15254.979976851851
173790,6,15257.849108796296
173793,3,15250.645740740742
173793,3,15250.870393518519
173793,5,15250.87388888889
173793,5,15257.99175925926
173793,5,15261.672789351851
173793,6,15265.67888888889
173793,4,15265.704965277779
173793,6,15265.72105324074
173793,6,15265.725821759259
173796,3,15250.647430555555
173796,3,15250.71994212963
173796,5,15257.974618055556
173796,5,15257.974953703704
173799,3,15250.649710648147
173799,3,15252.010497685185
173799,3,15252.010868055555
173799,3,15252.021180555555
173802,1,15250.630092592593
173805,3,15250.651238425926
173805,3,15250.662118055556
173805,5,15250.666331018518
173805,5,15250.671481481482
173805,5,15257.928078703704
173805,5,15265.836354166666
173805,5,15265.84005787037
173805,5,15267.05349537037
173805,5,15272.752025462964
173805,5,15272.924791666666
173805,5,15272.925127314815
173805,5,15274.872037037037
173805,5,15279.008275462964
173805,5,15279.019780092593
173805,5,15281.718935185185
173811,1,15250.63142361111
173811,3,15250.711678240741
173811,3,15250.741539351851
173811,5,15250.74295138889
173811,5,15257.9565625
173811,5,15258.061180555556
173811,5,15259.933611111112
173811,5,15261.086238425925
173811,5,15261.086979166666
173811,5,15261.11204861111
173811,5,15261.119907407407
173811,5,15261.122511574074
173811,5,15262.879155092593
173811,5,15265.085960648148
173811,5,15266.70133101852
173811,5,15267.081354166667
173811,5,15267.1059375
173811,5,15281.719039351852
173814,1,15250.632546296296
173814,3,15250.71931712963
173817,3,15250.661574074074
173817,5,15250.662141203704
173817,5,15250.66287037037
173817,5,15254.808032407407
173817,6,15258.635972222222
173823,3,15250.664976851851
173823,5,15250.669606481482
173823,5,15257.834560185185
173823,6,15259.623842592593
173823,6,15260.650277777779
173826,1,15250.649247685185
173826,1,15250.65429398148
173826,1,15250.656122685185
173826,3,15250.657303240741
173826,3,15250.832685185185
173826,3,15250.841006944445
173826,3,15250.86074074074
173829,1,15250.649247685185
173829,1,15250.651215277778
173829,3,15250.651967592592
173835,3,15250.664733796297
173835,3,15250.674050925925
173835,3,15250.69167824074
173835,5,15250.692372685186
173835,5,15250.705231481481
173835,5,15257.945254629629
173835,5,15265.681388888888
173835,5,15265.817824074074
173835,5,15265.842199074074
173841,3,15250.684340277778
173841,3,15251.758946759259
173841,3,15251.832893518518
173844,3,15250.674502314814
173844,3,15250.802546296296
173844,3,15250.805416666666
173844,5,15257.679039351851
173844,6,15258.873020833333
173847,3,15250.682037037037
173847,5,15257.828333333333
173847,6,15259.70292824074
173856,1,15250.641574074074
173856,1,15250.643506944445
173859,1,15250.644953703704
173859,3,15250.775787037037
173859,5,15250.776921296296
173859,5,15257.947164351852
173862,1,15250.645949074074
173868,3,15250.678854166666
173868,3,15250.681747685185
173868,5,15257.93625
173868,5,15265.736875
173868,5,15267.032835648148
173868,5,15267.633217592593
173868,6,15273.588645833333
173871,3,15250.686539351851
173871,3,15250.861805555556
173871,3,15250.885833333334
173871,3,15250.887523148149
173871,3,15252.06863425926
173871,3,15252.070011574075
173871,5,15252.070138888888
173871,5,15252.071168981482
173871,5,15258.667511574075
173871,6,15261.664097222223
173871,6,15261.67079861111
173880,1,15250.64707175926
173880,3,15250.787708333333
173880,3,15250.833888888888
173880,5,15250.834872685185
173880,5,15258.013449074075
173880,5,15258.015567129629
173880,5,15258.931157407407
173880,5,15267.084131944444
